"","logFC","logCPM","LR","PValue","FDR"
"SLCO1B3",-2.01938621329124,5.51400755683953,91.1448183847517,1.33532651522487e-21,1.80018705833753e-19
"SNORA23",-2.03154757771454,5.04584986392003,67.2532376060524,2.38778359337387e-16,1.9683245392003e-14
"SOX11",-1.14154847731704,5.87670467207259,64.4273430601863,1.00158500182288e-15,7.71578160332837e-14
"SOX14",-1.24513757585673,5.17363059229697,26.2931367878791,2.93329220905194e-07,5.95960247559657e-06
"SP8",-2.7533050752206,5.51872648062167,148.055015641363,4.61429087135627e-34,3.14306065563647e-31
"SPINK4",-1.4960302939382,5.43840820504436,54.861544968796,1.29326838735131e-13,7.53940516626156e-12
"SPRR1B",-1.53951147793169,5.60157866361885,71.5945454667099,2.64286250224875e-17,2.40872721859883e-15
"SPRR3",-1.35653916229561,5.34542473673066,42.4226472959898,7.35336213629943e-11,2.9739753989996e-09
"SST",-1.15600528205088,5.16730548564915,29.7126606248137,5.01065035076368e-08,1.19866611533426e-06
"SYT12",-1.05275123669398,6.38991213476369,87.6320757449416,7.88357444776218e-21,9.44715004656834e-19
"SYT14",-1.99540779821549,5.50852733652431,108.168970002847,2.4681365186444e-25,5.32377047071598e-23
"TCN1",-1.15571290665665,6.06257655656828,74.7403541355263,5.36874427275475e-18,5.25292869722141e-16
"TERT",-2.77382032767126,5.80378384658349,197.111389804987,8.91689638384838e-45,1.64860675713951e-41
"TFF1",-1.74351303917098,5.93223902419208,122.513034421299,1.78240423934525e-28,5.76696891640155e-26
"TFF2",-2.29704298852951,5.26096103874676,93.3467157870207,4.3890926063268e-22,6.38243106866083e-20
"TM4SF5",-2.65905473787919,5.33587656361552,105.817110114008,8.08643560947171e-25,1.6611849152029e-22
"TNR",1.07485582045415,5.75448310467464,91.4471026418884,1.14615472384467e-21,1.56142467747345e-19
"TRIM48",-2.03530071975688,4.79474149646253,39.735244613513,2.90829542903221e-10,1.07234072485854e-08
"TRPM8",-1.85044788392879,5.99233587427519,144.696866102649,2.50169299457493e-33,1.47167776071767e-30
"TUBB3",-1.11523012888434,6.290167678094,87.7429290407168,7.45389211744917e-21,9.18745445562164e-19
